ID,Gender,Age,Ethnicity,Education,Country,CountryPP,EstimatedIncome,NScore,EScore,OScore,AScore,CScore,Impulsivity,SensationSeeking,Alcohol,Amphet,Amyl,Benzos,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
1,F,Ag3,WA,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,39,36,42,37,42,3,2,CL5,CL2,CL0,CL2,CL6,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL0
2,M,Ag2,WH,Ed9,United Kingdom of Great Britain and Northern Ireland,43105,4812.6640625,29,52,55,48,41,2,5,CL5,CL2,CL2,CL0,CL6,CL4,CL6,CL3,CL0,CL4,CL0,CL2,CL0,CL2,CL3,CL0,CL4,CL0,CL0
3,M,Ag3,WH,Ed6,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,31,45,40,32,34,1,7,CL6,CL0,CL0,CL0,CL6,CL3,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL0
4,F,Ag1,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,3024.1740723,34,34,46,47,46,1,2,CL4,CL0,CL0,CL3,CL5,CL2,CL4,CL2,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL2,CL0,CL0
5,F,Ag3,WH,Ed9,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,43,28,43,41,50,3,5,CL4,CL1,CL1,CL0,CL6,CL3,CL6,CL0,CL0,CL1,CL0,CL0,CL1,CL0,CL0,CL2,CL2,CL0,CL0
6,F,Ag6,WH,Ed4,Canada,46059,3078.0134277,29,38,35,55,52,1,1,CL2,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
7,M,Ag4,WH,Ed8,United States of America,58669,3508,31,32,43,41,48,3,6,CL6,CL0,CL0,CL0,CL6,CL1,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
8,M,Ag3,WH,Ed2,United Kingdom of Great Britain and Northern Ireland,43105,4828.9228516,24,52,40,41,52,4,4,CL5,CL0,CL0,CL0,CL6,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0
9,F,Ag3,WH,Ed6,Canada,46059,4566.8349609,42,55,39,48,49,1,1,CL4,CL0,CL0,CL0,CL6,CL0,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
10,M,Ag5,WH,Ed8,United Kingdom of Great Britain and Northern Ireland,43105,3942.8076172,33,40,36,47,43,1,3,CL6,CL1,CL0,CL1,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL6,CL0,CL0
